Driver,LapNumber,Compound,TyreLife,LapTime,PitNextLap
RUS,17.0,MEDIUM,17.0,87.055,0
RUS,18.0,MEDIUM,18.0,87.383,0
RUS,19.0,MEDIUM,19.0,91.885,1
RUS,20.0,HARD,4.0,105.31,0
RUS,21.0,HARD,5.0,86.456,0
RUS,22.0,HARD,6.0,86.715,0
RUS,23.0,HARD,7.0,86.605,0
RUS,24.0,HARD,8.0,86.671,0
RUS,25.0,HARD,9.0,86.32,0
RUS,26.0,HARD,10.0,86.41,0
RUS,27.0,HARD,11.0,86.184,0
RUS,28.0,HARD,12.0,86.284,0
RUS,29.0,HARD,13.0,86.14,0
RUS,30.0,HARD,14.0,85.966,0
RUS,31.0,HARD,15.0,86.148,0
RUS,32.0,HARD,16.0,86.059,0
RUS,33.0,HARD,17.0,86.161,0
RUS,34.0,HARD,18.0,86.119,0
RUS,35.0,HARD,19.0,86.189,0
RUS,36.0,HARD,20.0,86.371,0
RUS,37.0,HARD,21.0,85.997,0
RUS,38.0,HARD,22.0,85.847,0
RUS,39.0,HARD,23.0,86.21,0
RUS,40.0,HARD,24.0,86.244,0
RUS,41.0,HARD,25.0,86.614,0
RUS,42.0,HARD,26.0,86.335,0
RUS,43.0,HARD,27.0,86.426,0
RUS,44.0,HARD,28.0,86.336,0
RUS,45.0,HARD,29.0,86.394,0
RUS,46.0,HARD,30.0,86.458,0
RUS,47.0,HARD,31.0,86.64,0
RUS,48.0,HARD,32.0,86.287,0
RUS,49.0,HARD,33.0,86.375,0
RUS,50.0,HARD,34.0,86.874,0
RUS,51.0,HARD,35.0,86.628,0
BOT,1.0,HARD,4.0,94.811,0
BOT,2.0,HARD,5.0,88.032,0
BOT,3.0,HARD,6.0,87.95,0
BOT,4.0,HARD,7.0,87.119,0
BOT,5.0,HARD,8.0,87.575,0
BOT,6.0,HARD,9.0,87.15,0
BOT,7.0,HARD,10.0,87.36,0
BOT,8.0,HARD,11.0,87.227,0
BOT,9.0,HARD,12.0,87.265,0
BOT,10.0,HARD,13.0,87.863,0
BOT,11.0,HARD,14.0,87.693,0
BOT,12.0,HARD,15.0,88.716,0
BOT,13.0,HARD,16.0,88.007,0
BOT,14.0,HARD,17.0,87.991,0
BOT,15.0,HARD,18.0,87.427,0
BOT,16.0,HARD,19.0,87.824,0
BOT,17.0,HARD,20.0,87.47,0
BOT,18.0,HARD,21.0,87.634,0
BOT,19.0,HARD,22.0,87.725,0
BOT,20.0,HARD,23.0,88.438,0
BOT,21.0,HARD,24.0,89.044,0
BOT,22.0,HARD,25.0,88.116,0
BOT,23.0,HARD,26.0,88.123,0
BOT,24.0,HARD,27.0,88.022,0
BOT,25.0,HARD,28.0,92.814,1
BOT,26.0,MEDIUM,4.0,106.575,0
BOT,27.0,MEDIUM,5.0,85.988,0
BOT,28.0,MEDIUM,6.0,86.486,0
BOT,29.0,MEDIUM,7.0,86.201,0
BOT,30.0,MEDIUM,8.0,86.643,0
BOT,31.0,MEDIUM,9.0,86.648,0
BOT,32.0,MEDIUM,10.0,86.606,0
BOT,33.0,MEDIUM,11.0,86.873,0
BOT,34.0,MEDIUM,12.0,86.621,0
BOT,35.0,MEDIUM,13.0,86.523,0
BOT,36.0,MEDIUM,14.0,86.782,0
BOT,37.0,MEDIUM,15.0,86.545,0
BOT,38.0,MEDIUM,16.0,87.093,0
BOT,39.0,MEDIUM,17.0,86.981,0
BOT,40.0,MEDIUM,18.0,87.862,0
BOT,41.0,MEDIUM,19.0,87.203,0
BOT,42.0,MEDIUM,20.0,86.864,0
BOT,43.0,MEDIUM,21.0,87.753,0
BOT,44.0,MEDIUM,22.0,86.962,0
BOT,45.0,MEDIUM,23.0,86.889,0
BOT,46.0,MEDIUM,24.0,86.806,0
BOT,47.0,MEDIUM,25.0,86.736,0
BOT,48.0,MEDIUM,26.0,87.005,0
BOT,49.0,MEDIUM,27.0,87.134,0
BOT,50.0,MEDIUM,28.0,86.95,0
PIA,1.0,MEDIUM,1.0,90.315,0
PIA,2.0,MEDIUM,2.0,88.053,0
PIA,3.0,MEDIUM,3.0,86.982,0
PIA,4.0,MEDIUM,4.0,87.004,0
PIA,5.0,MEDIUM,5.0,86.909,0
PIA,6.0,MEDIUM,6.0,86.878,0
PIA,7.0,MEDIUM,7.0,86.94,0
PIA,8.0,MEDIUM,8.0,86.85,0
PIA,9.0,MEDIUM,9.0,86.864,0
PIA,10.0,MEDIUM,10.0,86.823,0
PIA,11.0,MEDIUM,11.0,87.217,0
PIA,12.0,MEDIUM,12.0,87.454,0
PIA,13.0,MEDIUM,13.0,87.518,0
PIA,14.0,MEDIUM,14.0,87.371,0
PIA,15.0,MEDIUM,15.0,87.738,0
PIA,16.0,MEDIUM,16.0,87.201,0
PIA,17.0,MEDIUM,17.0,87.44,0
PIA,18.0,MEDIUM,18.0,87.398,0
PIA,19.0,MEDIUM,19.0,87.352,0
PIA,20.0,MEDIUM,20.0,87.746,0
PIA,21.0,MEDIUM,21.0,87.587,0
PIA,22.0,MEDIUM,22.0,87.419,0
PIA,23.0,MEDIUM,23.0,91.866,1
PIA,24.0,HARD,6.0,106.854,0
PIA,25.0,HARD,7.0,86.411,0
PIA,26.0,HARD,8.0,86.287,0
PIA,27.0,HARD,9.0,86.248,0
PIA,28.0,HARD,10.0,86.611,0
PIA,29.0,HARD,11.0,86.132,0
PIA,30.0,HARD,12.0,87.074,0
PIA,31.0,HARD,13.0,86.86,0
PIA,32.0,HARD,14.0,86.746,0
PIA,33.0,HARD,15.0,86.445,0
PIA,34.0,HARD,16.0,86.717,0
PIA,35.0,HARD,17.0,86.277,0
PIA,36.0,HARD,18.0,86.639,0
PIA,37.0,HARD,19.0,86.806,0
PIA,38.0,HARD,20.0,87.146,0
PIA,39.0,HARD,21.0,87.166,0
PIA,40.0,HARD,22.0,86.853,0
PIA,41.0,HARD,23.0,94.52,1
PIA,42.0,MEDIUM,4.0,113.593,0
PIA,43.0,MEDIUM,5.0,85.072,0
PIA,44.0,MEDIUM,6.0,85.69,0
PIA,45.0,MEDIUM,7.0,86.139,0
PIA,46.0,MEDIUM,8.0,85.732,0
PIA,47.0,MEDIUM,9.0,86.614,0
PIA,48.0,MEDIUM,10.0,86.067,0
PIA,49.0,MEDIUM,11.0,85.841,0
PIA,50.0,MEDIUM,12.0,85.593,0
